timestamp,e2e_latency_ms,fps
2026-02-12T05:59:01.042954,24.92,39.97
2026-02-12T05:59:01.070405,22.34,44.54
2026-02-12T05:59:01.110166,25.78,38.63
2026-02-12T05:59:01.146326,23.01,43.26
2026-02-12T05:59:01.177211,24.51,40.63
2026-02-12T05:59:01.204702,21.32,46.70
2026-02-12T05:59:01.242022,25.42,39.16
2026-02-12T05:59:01.270662,21.54,46.05
2026-02-12T05:59:01.305833,23.12,43.04
2026-02-12T05:59:01.336636,20.16,49.35
2026-02-12T05:59:01.369654,20.44,48.66
2026-02-12T05:59:01.405834,23.25,42.80
2026-02-12T05:59:01.444803,28.66,34.76
2026-02-12T05:59:01.476192,25.88,38.46
2026-02-12T05:59:01.507018,24.95,39.92
2026-02-12T05:59:01.536111,20.61,48.30
2026-02-12T05:59:01.573786,22.62,44.03
2026-02-12T05:59:01.626535,28.81,34.58
2026-02-12T05:59:01.643122,17.48,56.87
2026-02-12T05:59:01.670046,18.34,54.19
2026-02-12T05:59:01.707290,21.78,45.67
2026-02-12T05:59:01.740492,19.66,50.55
2026-02-12T05:59:01.776190,22.78,43.65
2026-02-12T05:59:01.817068,28.85,34.52
2026-02-12T05:59:01.848822,26.68,37.35
2026-02-12T05:59:01.876054,18.84,52.83
2026-02-12T05:59:01.910735,21.08,47.16
2026-02-12T05:59:01.949613,26.56,37.46
2026-02-12T05:59:01.980594,21.80,45.67
2026-02-12T05:59:02.023644,22.65,43.97
2026-02-12T05:59:02.048363,21.98,45.29
2026-02-12T05:59:02.085904,23.93,41.61
2026-02-12T05:59:02.122643,23.60,42.18
2026-02-12T05:59:02.147882,19.67,50.59
2026-02-12T05:59:02.181362,20.42,48.65
2026-02-12T05:59:02.215784,21.40,46.51
2026-02-12T05:59:02.251100,22.70,43.86
2026-02-12T05:59:02.282045,20.73,48.02
2026-02-12T05:59:02.319037,20.10,49.50
2026-02-12T05:59:02.367590,25.30,39.24
2026-02-12T05:59:02.393022,25.39,39.19
2026-02-12T05:59:02.412032,18.75,52.98
2026-02-12T05:59:02.454040,19.51,50.99
2026-02-12T05:59:02.481621,19.85,50.10
2026-02-12T05:59:02.513491,19.03,52.23
2026-02-12T05:59:02.551224,19.10,52.08
2026-02-12T05:59:02.593347,26.56,37.48
2026-02-12T05:59:02.614480,21.00,47.39
